変電所名 電圧(一次)（kV） 電圧(二次)（kV） 割引区分B
高森変電所 77 6.6 割引無し
生田水力変電所（３） 77 6.6 割引無し
靱変電所 77 6.6 割引無し
臼田水力変電所 77 6.6 割引無し
立岩変電所 77 6.6 割引無し
長門変電所 77 6.6 割引無し
青原水力変電所 77 6.6 割引無し
田島変電所 77 6.6 割引無し
坂城変電所 77 6.6 割引無し
南条変電所 77 6.6 割引無し
富士見変電所 77 6.6 割引無し
北大町変電所（２） 77 6.6 割引無し
大町変電所 77 6.6 割引無し
坂北変電所 77 6.6 割引無し
八那池第一水力変電所 77 6.6 割引無し
野辺山変電所 77 6.6 割引無し
栂池変電所 77 6.6 割引無し
池田変電所 77 6.6 割引無し
神城変電所 77 6.6 割引無し
北城変電所 77 6.6 割引無し
茂沢水力変電所 77 6.6 割引無し
御代田変電所 77 6.6 割引無し
南木曽変電所 77 6.6 割引無し
木曽御岳変電所 77 6.6 割引無し
木曽福島変電所 77 6.6 割引無し
藪原変電所 77 6.6 割引無し
川中島変電所 77 6.6 割引無し
鬼無里変電所 77 6.6 割引無し
戸隠変電所 77 6.6 割引無し
篠ノ井変電所 77 6.6 割引無し
若穂変電所 77 6.6 割引無し
松代変電所 77 6.6 割引無し
真島変電所 77 6.6 割引無し
今井変電所 77 6.6 割引無し
浅川変電所 77 6.6 割引無し
千歳町変電所 77 6.6 割引無し

豊野変電所 77 6.6 割引無し
堅神変電所 77 6.6 割引無し
鳥羽変電所 77 6.6 割引無し
相差変電所 77 6.6 割引無し
あのつ台変電所 77 6.6 割引無し
